Organ and Organ Systems,Disease States,Primary Peptide,Secondary Peptide,Primary Formula,Secondary Formula,Support Formula 2,Support Formula 3,Support Formula 4,,
Inflammation ,Arthritis - Post Menopausal,BPC 157 / TB500,Epithalon / CJC-1295 + Ipamorelin / LL37,J-GUARD - Joint Formula,DR. P Menapause Cream,R-GUARD - Arthritis Relief,MC Roll On,MC Cold Gel,MC Ointme,nt Crème
Inflammation ,Arthritis - Osteo,BPC 157 / TB500,Epithalon / CJC-1295 + Ipamorelin / LL37,J-GUARD - Joint Formula,R-GUARD Arthritis Formula,A-GUARD -  Alkalinity Greens,MC Roll On,MC Cold Gel,MC Ointme,nt Crème
Inflammation ,Arthritis - Rheumatoid,BPC 157 / TB500,Epithalon / CJC-1295 + Ipamorelin / LL37,R-GUARD - Arthritis Formla,J-GUARD - Joint Relief,VC- VC and CoQ10,MC Ointment Crème,,,
Respiratory,Asthma,TA1/ Vasoactive Intestinal Peptide (VIP),LL37 / BPC 157 / Semax,LU-GUARD - Lung Formula,V-GUARD - Immune Support,C-GUARD - Candida Formula,B-GUARD Bowel Cleanser,,,
Infectious Disease / Bacterial,Bacterial Infections,LL37 / TA1,BPC 157 / TB500,HB-Herbal Bismol,VC-GUARD - VC and CoQ10,,,,,
Skin,Baldness,Exosomes / GHKcu / Melanotan II,BPC 157 / TB500 / IGF-1,Y-GUARD - Youthfulness,,,,,,
Digestive system,Bladder Infections,TA 1 / LL37 / BPC 157,,U-GUARD - Urinary Tract Cleanser,Total Body Cleanse,C-GUARD - Candida Formula,VC-GUARD - VC and CoQ10,,,
Digestive system,Bladder Inflammation,BPC 157 / TB500,LL37 / TA1 / Vasoactive Intestinal Peptide (VIP),U-GUARD - Urinary Tract Cleanser,Total Body Cleanse,C-GUARD - Candida Formula,VC-GUARD - VC and CoQ10,,,
Digestive system,Bloating,,,B-GUARD - Bowel Cleanse,,,,,,
Liver / Digestive system,Blood Purifier,TA 1 / LL37 / BPC 157,Glutathione / Epithalon / CJC-1295 + Ipamorelin,H-GUARD - Blood Cleanser,L-GUARD - Liver Cleanse,B-GUARD - Bowel Cleanse,Total Body Cleanse,MN-GUARD,,
Endocrine,Blood Sugar, Semaglutide (GLP-1) / AOD / BPC 1295,CJC 1295 / TA 1 /MOTS-c,D-GUARD - Blood Sugar Regulator,PW- Post Work Out Powder,,,,,
Muscular/Skeletal,Body Builder,BPC 157 / TB500 / CJC-1295 + Ipamorelin,IGF-1 LR3 / Follistatin-344 / MK 677 / HGH,PCR-HGH,T-GUARD - Amino Acid Complex,PW-Post Work-out Formula,MN-GUARD,,,
All Organ Systems,Body Cleanser,,,Total Body Cleanse,,,,,,
Muscular/Skeletal,Body Rejuvenator,,,A-GUARD - Alkalinity Greens,PCR-HGH Complex,V-GUARD - Immune Support,Azteca CBD Shot,,,
Infectious Disease / Bacterial,Boils,LL37 / TA1 / BPC 157 / TB500,Glutathione ,Total Body Cleanse,L-GUARD - Liver Cleanse,,,,,
Skeletal,Bone Disease,BPC 157 / TB500 / CJC-1295 + Ipamorelin,"Bioresorbable Peptides (e.g., Oligopeptides for Bone Regeneration)",R-GUARD - Arthritis Complex,J-GUARD - Joint Maintenance,DK-GUARD - VD3 with K2,,,,
Digestive system,Bowel Cleanser,,,B-GUARD - Bowel Cleanse,W-GUARD - Weight Loss Formula,,,,,
Brain / Nervous system,Brain Stimulant,Semax / Selank / IGF 1,CJC 1295 ,M-GUARD - Mental Clarity,BOOST Energy Drink Shot,Y-GUARD - Youthfulness,X-GUARD - Anxiuety and Depression,,,
Respiratory,Bronchial Asthma,Vasoactive Intestinal Peptide (VIP),TA 1 / LL37 / BPC 157,LU-GUARD - Lung Cleanser,V-GUARD - Immune Support,,,,,
Respiratory,Bronchitis,BPC 157 / TB500,LL37 / TA1 / Vasoactive Intestinal Peptide (VIP),LU-GUARD - Lung Cleanser,V-GUARD - Immune Support,,,,,
Inflammation ,Bursitis,BPC 157 / TB500 / CJC-1295 + Ipamorelin,LL37,Apple Cidar Vinegar,MC Ointment Crème,MC Roll On,,,,
Organ specific,Cancer,TA 1 / LL37 / BPC 157,TB500 / Epithalon,BC-GUARD - Bio Curc,CL-GUARD - Cholesterol Health,VC- VC and CoQ10,A-GUARD - Alkalinity Greens,MC Roll On,,
Infectious Disease / fungus and yeast,Candidiasis,TA 1 / LL37 / BPC 157,TB500,C-GUARD - Candida Cleanser,Total Body Cleanse,F-GUARD - Flora Formula,,,,
Infectious Disease /Viral,Canker Sores,Thymosin Alpha-1 (Tα1),LL37,V-GUARD - Immune Support,,,,,,
Metabolic ,Cell Cleanser,Epithalon / MOTS-c / TA1,BPC 157 / CJC1295 ? Glutathione ,CL-GUARD - Cholesterol Health,Z-GUARD - Zombie Cell Cleanser,VC-GUARD - VC and CoQ10,,,,
Infectious Disease /Viral,CFIDS (EBV),Thymosin Alpha-1 (Tα1),LL37,C-GUARD - Candida Cleanser,B-GUARD - Bowel Cleanser,"Q-GUARD - Women's Liquid
Formula              K-GUARD - Men's Liquid Formula",F-GUARD - Flora Complex,Total Body Cleanse,,
Infectious Disease / Bacterial,Chlamydia,LL37 / TA1 / BPC 157 / TB500,Glutathione ,C-GUARD - Candida Cleanser,B-GUARD - Bowel Cleanser,"Q-GUARD - Women's Liquid
Formula             K-GUARD - Men's Liquid Formula",F-GUARD - Flora Complex,Total Body Cleanse,,
All Organ Systems,Chemical Toxicity,LL37 / TA1 / BPC 157 / Glutathion,CJC 1295 + ipamorelin / MOTS-c,Total Body Cleanse,LU-GUARD Lung Cleanse,BC-GUARD - Bio Curc,A-GUARD - Alkalinity Greens,MN-GUARD,,
Circulatory,Circulation,BPC 157 / TB500 / CJC-1295 + Ipamorelin,MOTS-c / LL 37,CF-GUARD - Circulation Relief,CL-GUARD - Cholesterol Health,M-GUARD - Mental Clarity,Z-GUARD Zombie Cell Cleanser,,,
Circulatory,Cold Hands & Feet,BPC 157 / TB500 / CJC-1295 + Ipamorelin,MOTS-c / LL 37,CF-GUARD - Circulation Relief,"N-GUARD - Enzyme Complex w/
Nattokinase",MC Massage Lotion,,,,
Infectious Disease /Viral,Colds - Chest,Thymosin Alpha-1 (Tα1),LL37,V-GUARD - Immune Support,VC-GUARD - VC and CoQ10,LU-GUARD - Lung Cleanse,,,,
Infectious Disease /Viral,Colds - Head,Thymosin Alpha-1 (Tα1),LL37,V-GUARD - Immune Support,VC-GUARD - VC and CoQ10,,,,,
Gastrointestinal,Colitis,BPC 157 / TB500 / LL37,ta 1/ glutathione,B-GUARD - Bowel Cleanse,F-GUARD - Flora Support,HB-Herbal Bismol,,,,
Gastrointestinal,Constipation,BPC 157 / TB500 / CJC-1295 + Ipamorelin,Glutathione ,B-GUARD - Bowel Cleanser,F-GUARD - Flora Support,W-GUARD - Weight Loss Formula,,,,
Infectious Disease / Bacterial,Cystitis,BPC 157 / TB500 / CJC-1295 + Ipamorelin,Glutathione / LL 37,U-GUARD - Urinary Tract Cleanser,VC-GUARD - VC and CoQ10,C-GUARD - Candida Formula,,,,
Brain/Mood,Depression,selank / semax / oxytocin ,cerebrolysin / TA 1,X-GUARD - Anxiety/Depression,M-GUARD - Mental Clarity,,,,,
Endocrine,Diabetes,GLP 1 Semaglutide  / IGF-1 LR3,BPC 157 / TA 1 / MOTS-c,D-GUARD - Blood Sugar Regulator,,,,,,
Gastrointestinal,Diarrhea,BPC 157 / TB500 / LL37,Glutathione  / TA1,B-GUARD - Bowel Cleanser,,,,,,
Endocrine / weight loss,Dieting,GLP1 / GLP2,,W-GUARD - Weight Loss Powder,Asian Tea Blend,,,,,
Gastrointestinal,Diverticulitis,BPC 157 / TB500 / LL37,Glutathione  / TA1,BC-GUARD - Bio Curc,B-GUARD - Bowel Cleanser,"Q-GUARD - Women's Liquid
Formula             K-GUARD - Men's Liquid Formula",F-GUARD - Flora Support,MC Ointment Crème,,
Circulatory,Edema,BPC 157 / TB500 / CJC-1295 + Ipamorelin,TA 1 / LL37 ,CF-GUARD - Circulation Relief,Apple Cidar Vinegar,Asian Tea Blend,Total Body Cleanse,,,
Circulatory - Bleeding disorder,Dyscrasia,BPC 157 / TB500 / CJC-1295 + Ipamorelin,Glutathione  / TA1,BC-GUARD - Bio Curc,VC- VC and CoQ10,A-GUARD - Alkalinity Greens,,,,
Gastrointestinal - Infectious Disease,Dysentery,BPC 157 / TB500 / LL37,Glutathione  / TA1,BC-GUARD - Bio Curc,B-GUARD - Bowel Cleanser,F-GUARD - Flora Support,,,,
Gastrointestinal,Dyspepsia,BPC 157 / TA 1 / CJC-1295 + Ipamorelin,Glutathione / LL 37,HB- Herbal Bismol,Z-GUARD - Zombie Cell Cleanser,CF-Circulation Relief,,,,
Infectious Disease / Bacterial,Ear Infections,BPC 157 / TB500 / LL37,Glutathione  / TA1,V-GUARD - Immune Support,,,,,,
Skin,Eczema,BPC 157 / TB500 / LL37,CJC 1295 / TA 1 ,Total Body Cleanse,H-GUARD - Blood Cleanser,G-GUARD - Gallbladder Formula,O-GUARD - EFA Oil,Angel Face Face Wash,,
Respiratory,Emphysema,BPC 157 / TB500 / Epithalon,Glutathione  / TA1,LU-GUARD - Lung Cleanser,V-GUARD - Immune Support,,,,,
Endocrine / Reproductive,Endometriosis,BPC 157 / TB500,Glutathione  / TA1,Total Body Cleanse,BC-GUARD - Bio Curc,V-GUARD - Immune Support,HB-Herbal Bismol,MC Ointment Crème,,
Gastrointestinal,Enteritis,BPC 157 / TB500 / LL37,Glutathione  / TA1,V-GUARD - Immune Support,HB-Herbal Bismol,F-GUARD - Flora Support,,,,
Brain / Nervous system,Epilepsy,Semax / Cerebrolysin / TB 500,Glutathione / Dihexa,X-GUARD - Anxiety/Depression,M-GUARD - Mental Clarity,V-GUARD - Immune Support,,,,
Vision,Eye - Macular Degeneration,BPC 157 / TB500 / CJC-1295 + Ipamorelin,Glutathione / Epithalon,I-GUARD - Eye Repair,,,,,,
Vision,Eye- Dry-Red Eye,,,I-GUARD - Eye Repair,,,,,,
Endocrine / Metabolic,Fatigue,BPC 157 / TA 1 / CJC-1295 + Ipamorelin,Glutathione  / MOTSc / Selank,"Q-GUARD - Women's Liquid
Formula             K-GUARD - Men's Liquid Formula",DP-GUARD - DHEA w/Pregneolone,M-GUARD - Mental Clarity,BOOST Energy Shot,PCR-HGH Spray,,
Infectious Disease ,Female Organ Infections,BPC 157 / TA 1 / LL37,Glutathione ,DR H Progesterone Cream,U-GUARD Urinary Tract Cleanse,C-GUARD - Candida Formula,Total Body Cleanse,,,
Infectious Disease ,Fevers/Chills,BPC 157 / TA 1 / LL37,Glutathione ,CF-GUARD - Circulation Relief,V-GUARD - Immune Support,,,,,
Infectious Disease /Viral,Flu (Intestinal),BPC 157 / TA 1 / LL37,Glutathione ,HB-Herbal Bismol,V-GUARD - Immune Support,F-GUARD - Flora Support,A-GUARD Alkalinity Greens,DK-GUARD,,
Metabolic ,Fluid Eliminator,BPC 157 / TB500 / CJC-1295 + Ipamorelin,TA 1 / MOTSc,W-GUARD - Weight Loss Powder,Apple Cidar Vinegar,,,,,
Gastrointestinal,Food Stagnation/Fermentation,BPC 157 / TB500,Glutathione  / MOTSc ,BC-GUARD - Bio Curc,B-GUARD - Bowel Cleanser,Total Body Cleanse,F-GUARD - Flora Support,C-GUARD - Candida Support,,
Infectious Disease / fungus and yeast,Fungal Infections,BPC 157 / TA 1 / LL37,Glutathione ,C-GUARD - Candida Support,F-GUARD - Flora Support,DK-GUARD - VD3 with K2,,,,
Infectious Disease / Bacterial,Furuncles,BPC 157 / TA 1 / LL37,Glutathione ,V-GUARD - Immune Support,Angel Face Face Wash,MC Massage Lotion,,,,
Liver / Digestive  / Gallbladder,Gallbladder,BPC 157 / TB500 / TA 1,MOTS-c ,G-GUARD - Gallbladder Support,B-GUARD - Bowel Cleanser,,,,,
Endocrine / Thyroid,Goiter,BPC 157 / TA 1 / CJC-1295 + Ipamorelin,Glutathione ,TG-GUARD - Thyroid Support,B-GUARD - Bowel Cleanser,,,,,
Inflammation ,Gout,BPC 157 / TB500 / TA 1,Glutathione ,CF-GUARD - Circulation Relief,GR-GUARD Gout Relief,M-GUARD - Mental Clarity,MC Ointment Crème,MC Roll On,,
Skin,Hairloss/Haircolor,BPC 157 / TB500 / CJC-1295 + Ipamorelin,GHK-cu / Glutathione + Exosomes,Y-GUARD - Youthfulness,,,,,,
Brain / Nervous system,Headaches,BPC 157 / TB500 / CJC-1295 + Ipamorelin,Glutathione  / Selank,MG-GUARD - Mygraine Relief,DP-GUARD - DHEA w/Pregneolone,MC Ointment Crème,MC Roll On,,,
Circulatory,Heart Disease,BPC 157 / TB500 / Epithalon,Glutathione  / MOTSc ,CL-GUARD - Cholesterol Health,O-GUARD - EFA Oil,M-GUARD - Mental Clarity,DK-GUARD - VD3 with K2,,,
Circulatory/Cardiac,Valvular System,BPC 157 / TB500 / Epithalon,Glutathione  / MOTSc ,CL-GUARD - Cholesterol Health,O-GUARD - EFA Oil,M-GUARD - Mental Clarity,CF-Circulation Relief,DK-GUARD,,
Muscular/Skeletal,Muscular System,BPC 157 / TB500 / CJC-1295 + Ipamorelin,Glutathione  / MOTSc ,CL-GUARD - Cholesterol Health,O-GUARD - EFA Oil,DK-GUARD - VD3 with K2,,,,
Cardiac/Neurological,Heart/Nervous,BPC 157 / TB500 / CJC-1295 + Ipamorelin,Glutathione  / Selank,CL-GUARD - Cholesterol Health,O-GUARD - EFA Oil,M-GUARD - Mental Clarity,CF-Circulation Relief,DK-GUARD,,
Gastrointestinal,Hemorrhoids,BPC 157 / TB500,Glutathione ,B-GUARD - Bowel Cleanser,,,,,,
Infectious Disease / Viral,Hepatitis,BPC 157 / TB500 / TA 1,Glutathione ,L-GUARD - Liver Cleanser,G-GUARD - Galbladder Support,B-GUARD - Bowel Cleanse,,,,
Infectious Disease / Viral,Herpes,BPC 157 / TA 1 / LL37,Glutathione ,V-GUARD - Immune Support,,,,,,
Circulatory,High Blood Pressure,BPC 157 / TB500 / CJC-1295 + Ipamorelin,Glutathione ,BP-GUARD - Blood Pressure Reg.,DK-GUARD -VD3 with K2,,,,,
Infectious Disease /Viral,HIV Postitive,BPC 157 / TA 1 / LL37,Glutathione ,V-GUARD - Immune Support,F-GUARD - Flora Support,BC-GUARD - Bio Curc,,,,
Endocrine,Hot Flashes,BPC 157 / Glutathione / CJC-1295 + Ipamorelin,,DR H Menopause Cream,DP-GUARD - DHEA w/Pregneolone,,,,,
Neurological,Hyperactivity,BPC 157 /  CJC-1295 + Ipamorelin,selank / semax,X-GUARD - Anxiety/Depression,Asian Tea Blend,Azteca CBD Shot,,,,
Endocrine,Hypoglycemia,BPC 157 /  CJC-1295 + Ipamorelin,Glutathione ,D-GUARD - Blood Sugar Regulator,PW-Post Work-Out Formula,,,,,
Neurological,Hysteria,TA 1 / Oxytocin,selank / semax,X-GUARD - Anxiety/Depression,,,,,,
Gastrointestinal,Ileitis,BPC 157 / TB500 / KPV,Glutathione ,B-GUARD - Bowel Cleanser,BC-GUARD - Bio Curc,F-GUARD Flora Support,H-GUARD - Blood Cleanser,,,
Immune System,Immune System,BPC 157 / TA 1 / LL37,Glutathione / Thymulin,F-GUARD - Flora Support,VC-GUARD - VC and CoQ10,"Q-GUARD - Women's Liquid
Formula             K-GUARD - Men's Liquid Formula",V-GUARD - Immune Support,A-GUARD - Alkalinity Greens,,
Hormonal,Impotency,BPC 157 /  CJC-1295 + Ipamorelin,PT-141 / Oxytocin ,E-GUARD - Male Support Formula,P-GUARD - Prostate Function,DP-GUARD - DHEA w/Pregnenolone,PRC-HGH Spray,,,
Gastrointestional,Indigestion,BPC 157 / KPV,Glutathione ,HB- Herbal Bismol,"N-GUARD - Enzyme Complex w/
Nattokinase",Asian Tea Blend,,,,
Infectious Disease / Viral,Infections Viral,BPC 157 / TA 1 / LL37,Glutathione / CJC 1295 + Ipamorelin,V-GUARD - Immune Support,HB- Herbal Bismol,VC-GUARD - VC and CoQ10,,,,
Endocrine,Insomnia,BPC 157 /  Epithalon,DSIP / Malanotan II,S-GUARD - Sleep Induce,X-GUARD - Anxiety/Depression,,,,,
Gastrointestional / Immune,Interstitial Cystitis,BPC 157 / TB500 / KPV,Glutathione ,Total Body Cleanse,U-GUARD - Urinary Tract Cleanse,V-GUARD - Immune Support,C-GUARD - Candida Relief,,,
Gastrointistional / Liver / Immune,Iron Deficiency,BPC 157 / TB500,,Liquid Iron Formula,DK-GUARD -VD3 with K2,,,,,
Skin,Itching,BPC 157 / TB500 / KPV,Glutathione ,O-GUARD - EFA Oil,H-GUARD - Blood Cleanser,Angel Face Face Wash,MC Massage Lotion,,,
Gastrointestional,Irritable Bowel,BPC 157 / TB500 / KPV,Glutathione ,BC-GUARD - Bio Curc,B-GUARD - Bowel Cleanser,F-GUARD - Flora Support,W-GUARD - Weight Loss Powder,,,
Liver / Gallbladder,Jaundice,BPC 157 / TA 1 / KPV,,Angel Face Face Wash,H-GUARD - Blood Cleanser,B-GUARD - Bowel Cleanse,DK-GUARD - VD3 with K2,MC Massage Lotion,,
Urinary Tract / Liver / Kidney Filtration,Kidney Affections,BPC 157 / TB500 / KPV,Glutathione ,U-GUARD - Urinary Tract Cleanser,HB - Herbal Bismol,A-GUARD - Alkalinity Greens,,,,
Urinary Tract / Liver / Kidney Filtration / Metabolic,Kidney Stones,BPC 157 / TB500 / KPV,Glutathione ,G-GUARD - Gallbladder Support,,,,,,
Gastrointestional / Liver /  Gall Bladder / Metabolic,Liver Colic,BPC 157 / TB500 / KPV,,BC-GUARD - Bio Curc,L-GUARD - Liver Cleanse,B-GUARD - Bowel Cleanse,DK-GUARD - VD3 with K2,,,
Liver,Liver Detoxifier,BPC 157 / TA 1 / KPV,Glutathione ,L-GUARD - Liver Cleanser,B-GUARD - Bowel Cleanser,A-GUARD - Alkalinity Greens,,,,
Gastrointestinal / Liver / Gallbladder,Lower Abdominal Inflammation,BPC 157 / TB500 / KPV,Glutathione ,B-GUARD - Bowel Cleanser,BC-GUARD - Bio Curc,N-GUARD -Enzyme Complex,A-GUARD - Alkalinity Greens,,,
Respiratory,Lung Cleanser,BPC 157 / TB500 / LL37,Glutathione ,LU-GUARD - Lung Cleanser,,,,,,
Respiratory ,Lung Congestion,BPC 157 / TB500 / LL37,Glutathione ,LU-GUARD - Lung Cleanser,,,,,,
Respiratory / Infectious Diseas / Bacterial and Viral,Lung Infection,BPC 157 / TA 1 / LL37,Glutathione ,LU-GUARD - Lung Cleanser,,,,,,
Respiratory,Lungs Weak,BPC 157 / TA 1 ,Glutathione ,A-GUARD - Alkalinity Greens,,,,,,
Immune System,Lymphatic Cleanser,BPC 157 / TA 1 ,Glutathione ,H-GUARD - Blood Cleanser,L-GUARD - Liver Cleanse,Total Body Cleanse,,,,
Infectious Disease / Parasite,Malaria,BPC 157 / TA 1 / LL37,Glutathione ,V-GUARD- Immune Support,,,,,,
Neurological,Memory,Semax / Selank / RG3 + NAD+,Cerebrolysin / Dihexa,M-GUARD - Mental Clarity,DP-GUARD - DHEA w/Pregneolone,CF- Circulation Relief,,,,
Endocrine,Menopause,BPC 157 / TB500 / CJC-1295 + Ipamorelin,Kisspeptin-10,DR H Menopause Cream,,,,,,
Endocrine,Menstrual Cramps,BPC 157 / TB500 / KPV,,DR H Progesterone Creme,MC Roll On,MC Ointment,,,,
Endocrine / Circulatory ,Menstrual Headaches,BPC 157 / TB500,Glutathione  / Selank,DR H Menopause Cream,DP-GUARD - DHEA w/Pregneolone,MG-GUARD - Mygraine Relief,,,,
Neurological,Migraine Headaches,BPC 157 / TB500,Glutathione  / Selank / CGRP Antagonists,MG-GUARD - Mygraine Relief,MC Ointment Crème,MC Roll On,,,,
Respiratory,Mucous,"BPC-157, Thymosin Beta-4 (TB-500), Glutathione",,LU-Lung Cleanser,B-GUARD - Bowel Cleanser,,,,,
Musuclular / Infetious Disease/Viral,Muscualr Aches: Colds & Flu,"BPC-157, Thymosin Alpha-1 (Tα1), TB-500.",,CF-GUARD - Circulation Relief,MC Ointment Cream,DK-GUARD - VD3 with K2,,,,
Muscular/Skeletal,Muscular Pain,"BPC-157, TB-500, Glutathione",,CF-GUARD - Circulation Relief,MC Ointment Cream,MC Roll On,,,,
Muscular/Skeletal,Muscular Weakness,"CJC-1295 + Ipamorelin, BPC-157, TB-500",,PCR-HGH Spray,PW - Post Work Out Formula,,,,,
Metabolic ,Necrosis,"BPC-157, Thymosin Beta-4 (TB-500), Glutathione",,CF-GUARD - Circulation Relief,VC-GUARD - VC and CoQ10,CL-GUARD - Cholesterol Health,A-GUARD - Alkalinity Greens,,,
Endocrine / Kidney,Nephritis,"BPC-157, Thymosin Beta-4 (TB-500), KPV",,G-GUARD - Galbladder Supoort,CF-Circulation Relief,H-GUARD - Blood Cleanser,B-GUARD Bowel Cleanser,,,
Neurological,Nerves,"BPC-157, TB-500, Semax",,X-GUARD - Anxiety/Depression,VC-GUARD - VC and CoQ10,S-GUARD - Sleep Induce,Azteca CBD Shot,DK-GUARD,,
Brain/Mood,Nervousness,"Selank, Thymosin Alpha-1 (Tα1",,X-GUARD - Anxiety/Depression,S-GUARD - Sleep Inducer,M-GUARD - Mental Clarity,,,,
Neurological,Neuralgia/Nerve Root Pain,"BPC-157, TB-500, KPV",,V-GUARD - Immune Support,Azteca CBD Shot,MC Ointment Crème,MC Roll On,,,
Skeletal / Infectious Disease / Immune,Osteomyelitis,"BPC-157, LL-37, Thymosin Alpha-1 (Tα1",,V-GUARD - Immune Support,HB - Herbal Bismol,Q-GUARD - Liquid Multi for Women,A-GUARD - Alkalinity Greens,,,
Reproductive,Ovarian Cysts,"BPC-157, Kisspeptin-10",,U-GUARD - Urinary Tract Cleanser,DR H Progesterone Cream,B-GUARD - Bowel Cleanse,,,,
Reproductive,Ovaries Inflammation,"BPC-157, KPV, Thymosin Beta-4 (TB-500)",,DR H Progesterone Cream,B-GUARD - Bowel Cleanser,HB-Herbal Bismol,,,,
All Organ Systems,Pain,"BPC-157, TB-500, KPV",,MG-GUARD - Mygraine Relief,MC Ointment Cream,MC Roll on,,,,
Circulatory / Heart,Palpitations,"Thymosin Alpha-1 (Tα1), Selank",,CF-GUARD - Circulation Relief,O-GUARD - EFA Oil,CL-GUARD - Cholesterol Health,N-GUARD - Enzyme Complex,,,
Infectious Disease / Parasite,Parasites,"LL-37, Thymosin Alpha-1 (Tα1)",,B-GUARD - Bowel Cleanser,,,,,,
Respiratory,Phlegm,"BPC-157, Glutathione",,LU-GUARD - Lung Clenaser,,,,,,
Infammation,Plantar Fasciitis,"BPC-157, TB-500, KPV",,CF-GUARD - Circulation Relief,MC Ointment Cream,MC Roll on,,,,
Respiratory / Infectious Disease ,Pleurisy,"BPC-157, Thymosin Beta-4 (TB-500), KPV",,LU-GUARD - Lung Cleanser,B-GUARD - Bowel Cleanser,MC Roll On,MC Ointment Cream,DK-GUARD,,
Infectious Disease /Viral/Bacterial,Pneumonia,"LL-37, Thymosin Alpha-1 (Tα1), Glutathione",,V-GUARD - Immune Support,HB - Herbal Bismol,A-GUARD - Alkalinity Greens,LU-GUARD - Lung Cleanser,,,
Endocrine,Premenstrual Syndrome,"BPC-157, Kisspeptin-10, Selank",,DR H Progesterone Cream,DP-GUARD - DHEA w/Pregneolone,,,,,
Endocrine / Prostate,Prostate Inflammation,"BPC-157, KPV, Thymosin Beta-4 (TB-500)",,P-GUARD - Prostate Health,B-GUARD - Bowel Cleanser,DK-GUARD - VD3 with K2,,,,
Skin / Immune,Psoriasis,"BPC-157, KPV, Thymosin Alpha-1 (Tα1)",,Total Body Cleanse,G-GUARD - Galbladder Support,,,,,
Neruological / Inflammation,Radiculitis,"BPC-157, TB-500, KPV",,J-GUARD - Joint Formula,CF-Circulation Relief,,,,,
Respiratory / Infectious Disease / Viral/Bacterial,Respiratory Infections,"LL-37, Thymosin Alpha-1 (Tα1), Glutathione",,LU-GUARD - Lung Cleanser,V-GUARD - Immune Support,VC-GUARD - VC and CoQ10,,,,
Inflammation ,Rheumatism,"BPC-157, TB-500, Thymosin Alpha-1 (Tα1",,J-GUARD - Joint Formula,CF-Circulation Relief,R-GUARD - Arthritis Relief,,,,
Neurological,Schizophrenia,"Selank, Semax, Dihexa",,X-GUARD - Anxiety/Depression,M-GUARD - Mental Clarity,,,,,
Neurological / Muscular / Skeletal,Sciatica,"BPC-157, TB-500, KPV",,CF-GUARD - Circulation Relief,PW - Post Work Out Formula,M-GUARD - Mental Clarity,,,,
Immune / Infectious Disease / Bacteria,Scrofula,"Thymosin Alpha-1 (Tα1), LL-37",,Total Body Cleanse,CF-Circulation Relief,,,,,
Respiratory,Sinusitis,"BPC-157, KPV, Thymosin Beta-4 (TB-500)",,V-GUARD - Immune Support,HB Herbal Bismol,A-GUARD - Alkalinity Grens,,,,
Skin,Skin Diseases,"BPC-157, Thymosin Alpha-1 (Tα1), KPV",,Y-GUARD - Youthfulness,Angel Face Face Wash,Pure Squalene Oil,MC Massage Lotion,DK-GUARD,,
Brain/Mood,Sleep,"Selank, CJC-1295 + Ipamorelin, Epithalon.",,S-GUARD - Sleep Induce,,,,,,
Muscular/Skeletal / Neurological,Spasms,"BPC-157, TB-500",,CF-GUARD - Circulation Relief,J-GUARD - Joint Formula,MC Ointment,MC Roll On,MC Cold Gel,,
Neuroligical,Stimulant Abuse,"Selank, Semax",,A-GUARD - Alkalinity Greens,CF-Circulation Relief,DK-GUARD - VD3 with K2,,,,
